Chr	Median.cov.chr	Norm.global.coverage	Sample
1	100	1	Um_142_USMA_PopGen_GD
2	99	0.99	Um_142_USMA_PopGen_GD
3	100	1	Um_142_USMA_PopGen_GD
4	99	0.99	Um_142_USMA_PopGen_GD
5	99	0.99	Um_142_USMA_PopGen_GD
6	101	1.01	Um_142_USMA_PopGen_GD
7	100	1	Um_142_USMA_PopGen_GD
8	100	1	Um_142_USMA_PopGen_GD
9	101	1.01	Um_142_USMA_PopGen_GD
10	101	1.01	Um_142_USMA_PopGen_GD
11	100	1	Um_142_USMA_PopGen_GD
12	101	1.01	Um_142_USMA_PopGen_GD
13	100	1	Um_142_USMA_PopGen_GD
14	100	1	Um_142_USMA_PopGen_GD
15	101	1.01	Um_142_USMA_PopGen_GD
16	100	1	Um_142_USMA_PopGen_GD
17	100	1	Um_142_USMA_PopGen_GD
18	100	1	Um_142_USMA_PopGen_GD
19	100	1	Um_142_USMA_PopGen_GD
20	102	1.02	Um_142_USMA_PopGen_GD
21	101	1.01	Um_142_USMA_PopGen_GD
22	100	1	Um_142_USMA_PopGen_GD
23	99	0.99	Um_142_USMA_PopGen_GD
24	979	9.79	Um_142_USMA_PopGen_GD
25	95	0.95	Um_142_USMA_PopGen_GD
26	94	0.94	Um_142_USMA_PopGen_GD
27	98	0.98	Um_142_USMA_PopGen_GD
28	1	0.01	Um_142_USMA_PopGen_GD
