Chr	Median.cov.chr	Norm.global.coverage	Sample
1	101	1.01	Um_143_USMA_PopGen_GD
2	100	1	Um_143_USMA_PopGen_GD
3	100	1	Um_143_USMA_PopGen_GD
4	99	0.99	Um_143_USMA_PopGen_GD
5	99	0.99	Um_143_USMA_PopGen_GD
6	100	1	Um_143_USMA_PopGen_GD
7	100	1	Um_143_USMA_PopGen_GD
8	100	1	Um_143_USMA_PopGen_GD
9	101	1.01	Um_143_USMA_PopGen_GD
10	101	1.01	Um_143_USMA_PopGen_GD
11	100	1	Um_143_USMA_PopGen_GD
12	101	1.01	Um_143_USMA_PopGen_GD
13	100	1	Um_143_USMA_PopGen_GD
14	100	1	Um_143_USMA_PopGen_GD
15	102	1.02	Um_143_USMA_PopGen_GD
16	100	1	Um_143_USMA_PopGen_GD
17	101	1.01	Um_143_USMA_PopGen_GD
18	99	0.99	Um_143_USMA_PopGen_GD
19	99	0.99	Um_143_USMA_PopGen_GD
20	101	1.01	Um_143_USMA_PopGen_GD
21	100	1	Um_143_USMA_PopGen_GD
22	100	1	Um_143_USMA_PopGen_GD
23	98	0.98	Um_143_USMA_PopGen_GD
24	809	8.09	Um_143_USMA_PopGen_GD
25	96	0.96	Um_143_USMA_PopGen_GD
26	89	0.89	Um_143_USMA_PopGen_GD
27	98	0.98	Um_143_USMA_PopGen_GD
28	1	0.01	Um_143_USMA_PopGen_GD
