Chr	Median.cov.chr	Norm.global.coverage	Sample
1	93	1	Um_48_USMA_PopGen_GD
2	92	0.989247311827957	Um_48_USMA_PopGen_GD
3	93	1	Um_48_USMA_PopGen_GD
4	93	1	Um_48_USMA_PopGen_GD
5	92	0.989247311827957	Um_48_USMA_PopGen_GD
6	93	1	Um_48_USMA_PopGen_GD
7	93	1	Um_48_USMA_PopGen_GD
8	93	1	Um_48_USMA_PopGen_GD
9	92	0.989247311827957	Um_48_USMA_PopGen_GD
10	93	1	Um_48_USMA_PopGen_GD
11	93	1	Um_48_USMA_PopGen_GD
12	93	1	Um_48_USMA_PopGen_GD
13	93	1	Um_48_USMA_PopGen_GD
14	93	1	Um_48_USMA_PopGen_GD
15	95	1.02150537634409	Um_48_USMA_PopGen_GD
16	92	0.989247311827957	Um_48_USMA_PopGen_GD
17	93	1	Um_48_USMA_PopGen_GD
18	94	1.01075268817204	Um_48_USMA_PopGen_GD
19	92	0.989247311827957	Um_48_USMA_PopGen_GD
20	94	1.01075268817204	Um_48_USMA_PopGen_GD
21	93	1	Um_48_USMA_PopGen_GD
22	94	1.01075268817204	Um_48_USMA_PopGen_GD
23	92	0.989247311827957	Um_48_USMA_PopGen_GD
24	623	6.6989247311828	Um_48_USMA_PopGen_GD
25	87	0.935483870967742	Um_48_USMA_PopGen_GD
26	96	1.03225806451613	Um_48_USMA_PopGen_GD
27	94	1.01075268817204	Um_48_USMA_PopGen_GD
28	10	0.10752688172043	Um_48_USMA_PopGen_GD
